Year,CO2,GHG OTher*,O3 (Trop),O3 (Strat),Aerosol (Total),LUC,H2O (Strat),BC Snow,Contrails,Solar,Volcano
1858,0.155,0.055,0.050,0.000,-0.192,-0.043,0.008,0.017,0.000,-0.020,-0.725
1859,0.154,0.057,0.050,0.000,-0.194,-0.043,0.008,0.017,0.000,-0.007,-0.275
1860,0.154,0.058,0.051,0.000,-0.196,-0.043,0.008,0.017,0.000,0.029,-0.125
1861,0.153,0.060,0.052,0.000,-0.198,-0.044,0.008,0.018,0.000,0.036,-0.075
1862,0.153,0.061,0.053,0.000,-0.199,-0.044,0.008,0.018,0.000,0.013,-0.350
1863,0.154,0.062,0.054,0.000,-0.201,-0.044,0.008,0.018,0.000,0.006,-0.250
1864,0.156,0.063,0.055,0.000,-0.203,-0.045,0.008,0.018,0.000,-0.017,-0.125
1865,0.158,0.064,0.056,0.000,-0.205,-0.045,0.009,0.019,0.000,-0.018,-0.050
1866,0.162,0.066,0.057,0.000,-0.206,-0.045,0.009,0.019,0.000,-0.021,-0.025
1867,0.167,0.067,0.058,0.000,-0.208,-0.046,0.009,0.019,0.000,-0.037,0.000
1868,0.173,0.068,0.059,0.000,-0.210,-0.046,0.009,0.020,0.000,-0.039,0.000
1869,0.180,0.070,0.059,0.000,-0.212,-0.046,0.009,0.020,0.000,-0.005,-0.025
1870,0.188,0.071,0.060,0.000,-0.213,-0.047,0.009,0.020,0.000,-0.028,-0.025
1871,0.195,0.073,0.061,0.000,-0.215,-0.047,0.009,0.020,0.000,0.025,-0.025
1872,0.202,0.075,0.062,0.000,-0.217,-0.047,0.009,0.021,0.000,0.012,-0.025
1873,0.208,0.077,0.063,0.000,-0.219,-0.048,0.010,0.021,0.000,0.015,-0.075
1874,0.212,0.079,0.064,0.000,-0.220,-0.048,0.010,0.021,0.000,0.000,-0.050
1875,0.215,0.081,0.065,0.000,-0.222,-0.049,0.010,0.022,0.000,-0.015,-0.025
1876,0.218,0.083,0.066,0.000,-0.224,-0.049,0.010,0.022,0.000,-0.029,-0.150
1877,0.219,0.084,0.067,0.000,-0.226,-0.049,0.010,0.022,0.000,-0.033,-0.125
1878,0.219,0.086,0.067,0.000,-0.227,-0.050,0.010,0.022,0.000,-0.041,-0.075
1879,0.221,0.088,0.068,0.000,-0.229,-0.050,0.010,0.023,0.000,-0.044,-0.050
1880,0.222,0.089,0.069,0.000,-0.231,-0.050,0.011,0.023,0.000,-0.039,-0.025
1881,0.224,0.091,0.070,0.000,-0.233,-0.051,0.011,0.023,0.000,-0.007,-0.025
1882,0.228,0.092,0.071,0.000,-0.234,-0.051,0.011,0.024,0.000,-0.019,-0.025
1883,0.232,0.094,0.072,0.000,-0.236,-0.052,0.011,0.024,0.000,-0.031,-1.175
1884,0.238,0.096,0.073,0.000,-0.238,-0.052,0.011,0.024,0.000,0.018,-3.575
1885,0.244,0.098,0.074,0.000,-0.240,-0.053,0.011,0.024,0.000,0.002,-1.575
1886,0.250,0.100,0.075,0.000,-0.241,-0.053,0.011,0.025,0.000,-0.014,-0.900
1887,0.258,0.102,0.075,0.000,-0.243,-0.053,0.012,0.025,0.000,-0.033,-0.925
1888,0.266,0.104,0.076,0.000,-0.245,-0.054,0.012,0.025,0.000,-0.037,-0.550
1889,0.274,0.106,0.077,0.000,-0.247,-0.054,0.012,0.026,0.000,-0.041,-0.725
1890,0.283,0.107,0.078,0.000,-0.248,-0.055,0.012,0.026,0.000,-0.041,-0.975
1891,0.293,0.108,0.079,0.000,-0.250,-0.055,0.012,0.026,0.000,-0.020,-0.750
1892,0.302,0.109,0.080,0.000,-0.252,-0.056,0.012,0.026,0.000,0.004,-0.550
1893,0.311,0.110,0.081,0.000,-0.254,-0.056,0.013,0.027,0.000,0.035,-0.225
1894,0.319,0.111,0.082,0.000,-0.255,-0.057,0.013,0.027,0.000,0.072,-0.100
1895,0.325,0.111,0.083,0.000,-0.257,-0.057,0.013,0.027,0.000,0.052,-0.025
1896,0.330,0.112,0.083,0.000,-0.259,-0.058,0.013,0.028,0.000,0.023,-0.450
1897,0.334,0.113,0.084,0.000,-0.261,-0.058,0.013,0.028,0.000,-0.003,-0.425
1898,0.336,0.114,0.085,0.000,-0.262,-0.059,0.014,0.028,0.000,-0.012,-0.300
1899,0.337,0.115,0.086,0.000,-0.264,-0.059,0.014,0.028,0.000,-0.017,-0.125
1900,0.339,0.117,0.087,0.000,-0.266,-0.060,0.014,0.029,0.000,-0.028,-0.050
1901,0.341,0.120,0.088,0.000,-0.268,-0.061,0.014,0.029,0.000,-0.043,-0.025
1902,0.344,0.123,0.089,0.000,-0.270,-0.061,0.015,0.030,0.000,-0.048,-0.500
1903,0.349,0.127,0.090,0.000,-0.272,-0.062,0.015,0.030,0.000,-0.036,-1.800
1904,0.355,0.130,0.091,0.000,-0.274,-0.062,0.015,0.031,0.000,0.011,-0.800
1905,0.362,0.134,0.092,0.000,-0.276,-0.063,0.016,0.032,0.000,-0.016,-0.325
1906,0.369,0.138,0.092,0.000,-0.278,-0.063,0.016,0.032,0.000,0.028,-0.175
1907,0.376,0.141,0.093,0.000,-0.280,-0.064,0.016,0.033,0.000,-0.001,-0.225
1908,0.383,0.145,0.094,0.000,-0.282,-0.064,0.017,0.033,0.000,0.020,-0.250
1909,0.389,0.148,0.095,-0.001,-0.284,-0.065,0.017,0.034,0.000,-0.002,-0.100
1910,0.395,0.151,0.096,-0.001,-0.286,-0.065,0.017,0.035,0.000,-0.006,-0.075
1911,0.400,0.155,0.097,-0.001,-0.288,-0.066,0.018,0.035,0.000,-0.032,-0.050
1912,0.406,0.159,0.098,-0.001,-0.289,-0.066,0.018,0.035,0.000,-0.045,-0.475
1913,0.412,0.163,0.100,-0.001,-0.290,-0.067,0.019,0.035,0.000,-0.042,-0.600
1914,0.419,0.167,0.101,-0.001,-0.291,-0.068,0.019,0.035,0.000,-0.033,-0.250
1915,0.427,0.171,0.102,-0.001,-0.292,-0.068,0.019,0.035,0.000,0.013,-0.100
1916,0.436,0.175,0.103,-0.001,-0.293,-0.069,0.020,0.035,0.000,0.068,-0.075
1917,0.445,0.180,0.104,-0.001,-0.294,-0.069,0.020,0.035,0.000,0.086,-0.050
1918,0.453,0.185,0.105,-0.001,-0.296,-0.070,0.021,0.035,0.000,0.121,-0.050
1919,0.460,0.189,0.107,-0.002,-0.297,-0.071,0.021,0.035,0.000,0.073,-0.050
1920,0.466,0.193,0.108,-0.001,-0.298,-0.071,0.022,0.035,0.000,0.039,-0.225
1921,0.472,0.196,0.109,-0.001,-0.302,-0.072,0.022,0.036,0.000,0.012,-0.200
1922,0.476,0.199,0.110,-0.002,-0.305,-0.073,0.022,0.036,0.000,-0.013,-0.075
1923,0.481,0.201,0.111,-0.002,-0.309,-0.073,0.023,0.036,0.000,-0.025,-0.025
1924,0.486,0.203,0.113,-0.002,-0.313,-0.074,0.023,0.036,0.000,-0.029,-0.075
1925,0.491,0.205,0.114,-0.002,-0.317,-0.075,0.024,0.036,0.000,-0.015,-0.075
1926,0.497,0.207,0.115,-0.002,-0.321,-0.076,0.024,0.036,0.000,0.020,-0.050
1927,0.503,0.210,0.116,-0.002,-0.325,-0.076,0.025,0.036,0.000,0.063,-0.050
1928,0.510,0.214,0.117,-0.002,-0.328,-0.077,0.025,0.037,0.000,0.033,-0.125
1929,0.517,0.218,0.119,-0.002,-0.332,-0.078,0.025,0.037,0.000,0.028,-0.250
1930,0.523,0.222,0.120,-0.003,-0.336,-0.079,0.026,0.037,0.000,0.048,-0.150
1931,0.530,0.226,0.122,-0.003,-0.338,-0.080,0.026,0.037,0.000,0.009,-0.125
1932,0.536,0.230,0.124,-0.003,-0.340,-0.081,0.027,0.038,0.000,-0.016,-0.200
1933,0.542,0.234,0.126,-0.003,-0.341,-0.081,0.027,0.038,0.000,-0.029,-0.175
1934,0.548,0.237,0.128,-0.003,-0.343,-0.082,0.027,0.039,0.000,-0.027,-0.100
1935,0.555,0.241,0.130,-0.003,-0.345,-0.083,0.028,0.039,0.000,-0.008,-0.100
1936,0.563,0.244,0.133,-0.003,-0.347,-0.084,0.028,0.040,0.000,0.068,-0.075
1937,0.570,0.247,0.135,-0.003,-0.349,-0.085,0.029,0.040,0.000,0.089,-0.075
1938,0.577,0.251,0.137,-0.003,-0.350,-0.086,0.029,0.040,0.000,0.080,-0.125
1939,0.584,0.254,0.139,-0.004,-0.352,-0.087,0.029,0.041,0.000,0.094,-0.100
1940,0.590,0.257,0.141,-0.004,-0.354,-0.088,0.030,0.041,0.000,0.070,-0.075
1941,0.595,0.261,0.143,-0.004,-0.358,-0.089,0.030,0.042,0.000,0.057,-0.050
1942,0.598,0.264,0.146,-0.004,-0.362,-0.090,0.030,0.042,0.000,0.030,-0.100
1943,0.599,0.267,0.148,-0.004,-0.366,-0.092,0.031,0.043,0.000,-0.005,-0.100
1944,0.599,0.270,0.150,-0.004,-0.370,-0.093,0.031,0.043,0.001,-0.011,-0.050
1945,0.599,0.273,0.152,-0.004,-0.374,-0.094,0.032,0.043,0.001,0.019,-0.050
1946,0.599,0.276,0.154,-0.005,-0.378,-0.095,0.032,0.044,0.001,0.025,-0.050
1947,0.598,0.279,0.156,-0.005,-0.382,-0.096,0.032,0.044,0.002,0.093,-0.050
1948,0.598,0.283,0.158,-0.005,-0.386,-0.097,0.033,0.045,0.002,0.146,-0.050
1949,0.601,0.287,0.161,-0.005,-0.390,-0.099,0.033,0.045,0.002,0.123,-0.075
1950,0.604,0.291,0.163,-0.005,-0.394,-0.100,0.034,0.046,0.002,0.110,-0.075
1951,0.608,0.296,0.168,-0.005,-0.409,-0.102,0.034,0.046,0.002,0.037,-0.050
1952,0.615,0.302,0.173,-0.006,-0.424,-0.103,0.035,0.047,0.002,0.045,-0.100
1953,0.623,0.308,0.178,-0.006,-0.439,-0.105,0.036,0.047,0.003,0.025,-0.075
1954,0.631,0.315,0.183,-0.006,-0.455,-0.106,0.036,0.048,0.003,0.003,-0.100
1955,0.641,0.323,0.188,-0.006,-0.470,-0.108,0.037,0.048,0.003,0.015,-0.050
1956,0.651,0.332,0.193,-0.007,-0.485,-0.109,0.038,0.049,0.003,0.064,-0.025
1957,0.662,0.341,0.198,-0.007,-0.500,-0.111,0.038,0.050,0.004,0.129,-0.025
1958,0.673,0.349,0.203,-0.007,-0.515,-0.112,0.039,0.050,0.004,0.194,0.000
1959,0.685,0.358,0.208,-0.008,-0.530,-0.114,0.040,0.051,0.004,0.159,0.000
1960,0.698,0.366,0.213,-0.008,-0.546,-0.116,0.041,0.051,0.004,0.151,-0.125
1961,0.709,0.374,0.218,-0.008,-0.563,-0.117,0.041,0.051,0.004,0.110,-0.275
1962,0.719,0.383,0.223,-0.009,-0.580,-0.119,0.042,0.051,0.004,0.051,-0.325
1963,0.727,0.392,0.228,-0.009,-0.598,-0.120,0.043,0.050,0.005,0.038,-1.150
1964,0.735,0.402,0.233,-0.010,-0.615,-0.122,0.044,0.050,0.005,0.019,-1.800
1965,0.748,0.412,0.239,-0.011,-0.632,-0.123,0.045,0.050,0.005,0.008,-1.075
1966,0.762,0.424,0.244,-0.011,-0.650,-0.125,0.046,0.050,0.006,0.012,-0.575
1967,0.778,0.437,0.249,-0.012,-0.667,-0.126,0.047,0.049,0.007,0.055,-0.375
1968,0.794,0.451,0.254,-0.013,-0.684,-0.127,0.048,0.049,0.008,0.086,-0.675
1969,0.811,0.466,0.259,-0.014,-0.701,-0.129,0.049,0.049,0.009,0.077,-0.850
1970,0.828,0.483,0.264,-0.014,-0.719,-0.130,0.050,0.049,0.009,0.092,-0.425
1971,0.846,0.500,0.270,-0.016,-0.722,-0.131,0.050,0.049,0.009,0.082,-0.150
1972,0.865,0.519,0.277,-0.017,-0.725,-0.132,0.051,0.049,0.009,0.076,-0.100
1973,0.885,0.538,0.284,-0.018,-0.728,-0.134,0.052,0.049,0.010,0.044,-0.200
1974,0.904,0.558,0.290,-0.019,-0.732,-0.135,0.053,0.050,0.010,0.023,-0.325
1975,0.920,0.578,0.297,-0.021,-0.735,-0.136,0.054,0.050,0.010,0.006,-0.750
1976,0.938,0.598,0.304,-0.022,-0.738,-0.137,0.055,0.050,0.010,-0.003,-0.350
1977,0.960,0.617,0.310,-0.024,-0.741,-0.138,0.056,0.050,0.011,0.040,-0.125
1978,0.987,0.636,0.317,-0.026,-0.745,-0.138,0.057,0.051,0.011,0.129,-0.200
1979,1.018,0.656,0.324,-0.027,-0.748,-0.139,0.058,0.051,0.012,0.167,-0.225
1980,1.046,0.675,0.330,-0.029,-0.751,-0.140,0.059,0.051,0.012,0.150,-0.125
1981,1.066,0.696,0.335,-0.031,-0.763,-0.141,0.061,0.051,0.012,0.147,-0.125
1982,1.085,0.717,0.339,-0.033,-0.775,-0.141,0.062,0.050,0.012,0.094,-1.325
1983,1.110,0.737,0.343,-0.035,-0.788,-0.142,0.063,0.050,0.012,0.091,-1.875
1984,1.136,0.757,0.348,-0.037,-0.800,-0.143,0.064,0.049,0.013,0.016,-0.750
1985,1.158,0.776,0.352,-0.038,-0.812,-0.143,0.065,0.049,0.014,0.011,-0.325
1986,1.180,0.795,0.356,-0.040,-0.824,-0.144,0.065,0.049,0.015,0.012,-0.350
1987,1.208,0.813,0.360,-0.042,-0.836,-0.144,0.066,0.048,0.016,0.015,-0.250
1988,1.240,0.832,0.365,-0.044,-0.848,-0.145,0.067,0.048,0.017,0.095,-0.200
1989,1.266,0.853,0.369,-0.046,-0.861,-0.145,0.067,0.047,0.018,0.151,-0.150
1990,1.287,0.872,0.373,-0.048,-0.873,-0.146,0.068,0.047,0.019,0.118,-0.150
1991,1.305,0.888,0.375,-0.050,-0.878,-0.146,0.068,0.046,0.019,0.126,-1.350
1992,1.318,0.900,0.376,-0.052,-0.883,-0.146,0.069,0.045,0.020,0.137,-3.025
1993,1.332,0.909,0.378,-0.054,-0.888,-0.147,0.069,0.045,0.022,0.063,-1.225
1994,1.354,0.916,0.379,-0.055,-0.893,-0.147,0.069,0.044,0.024,0.027,-0.500
1995,1.381,0.923,0.380,-0.056,-0.897,-0.147,0.070,0.043,0.025,0.020,-0.250
1996,1.404,0.930,0.382,-0.057,-0.902,-0.148,0.070,0.043,0.027,0.003,-0.175
1997,1.428,0.937,0.383,-0.057,-0.907,-0.148,0.070,0.042,0.028,0.016,-0.125
1998,1.459,0.944,0.385,-0.057,-0.912,-0.148,0.071,0.041,0.029,0.062,-0.075
1999,1.489,0.952,0.386,-0.056,-0.917,-0.148,0.071,0.041,0.031,0.104,-0.050
2000,1.510,0.957,0.388,-0.056,-0.922,-0.149,0.071,0.040,0.033,0.127,-0.050
2001,1.532,0.961,0.389,-0.055,-0.920,-0.149,0.071,0.040,0.033,0.114,-0.050
2002,1.563,0.965,0.390,-0.055,-0.918,-0.149,0.071,0.040,0.033,0.108,-0.050
2003,1.594,0.969,0.391,-0.054,-0.916,-0.149,0.071,0.040,0.034,0.042,-0.075
2004,1.624,0.973,0.393,-0.053,-0.913,-0.149,0.071,0.040,0.038,0.012,-0.050
2005,1.654,0.976,0.394,-0.053,-0.911,-0.149,0.071,0.040,0.040,-0.011,-0.075
2006,1.684,0.981,0.395,-0.052,-0.909,-0.150,0.071,0.040,0.042,-0.016,-0.100
2007,1.711,0.986,0.396,-0.052,-0.907,-0.150,0.071,0.040,0.044,-0.017,-0.100
2008,1.736,0.992,0.398,-0.051,-0.904,-0.150,0.072,0.040,0.046,-0.025,-0.100
2009,1.762,0.999,0.399,-0.051,-0.902,-0.150,0.072,0.040,0.044,-0.027,-0.125
2010,1.789,1.005,0.400,-0.050,-0.900,-0.150,0.072,0.040,0.048,0.001,-0.100
2011,1.816,1.015,0.400,-0.050,-0.900,-0.150,0.073,0.040,0.050,0.030,-0.125
