"Effective Radiative Forcing|F-Gases|PFC|C2F6","W/m**2"
"Effective Radiative Forcing|F-Gases|PFC|C6F14","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC23","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC32","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC125","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC134a","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC143a","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC227ea","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC245fa","W/m**2"
"Effective Radiative Forcing|F-Gases|HFC|HFC4310mee","W/m**2"
"Effective Radiative Forcing|F-Gases|SF6","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CFC|CFC11","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CFC|CFC12","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CFC|CFC113","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CFC|CFC114","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CFC|CFC115","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CCl4","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CH3CCl3","W/m**2"
"Effective Radiative Forcing|Montreal Gases|HCFC22","W/m**2"
"Effective Radiative Forcing|Montreal Gases|HCFC141b","W/m**2"
"Effective Radiative Forcing|Montreal Gases|HCFC142b","W/m**2"
"Effective Radiative Forcing|Montreal Gases|Halon1211","W/m**2"
"Effective Radiative Forcing|Montreal Gases|Halon1202","W/m**2"
"Effective Radiative Forcing|Montreal Gases|Halon1301","W/m**2"
"Effective Radiative Forcing|Montreal Gases|Halon2402","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CH3Br","W/m**2"
"Effective Radiative Forcing|Montreal Gases|CH3Cl","W/m**2"
"Effective Radiative Forcing","W/m**2"
"Effective Radiative Forcing|Greenhouse Gases","W/m**2"
"Effective Radiative Forcing|Kyoto Gases","W/m**2"
"Effective Radiative Forcing|CO2, CH4 and N2O","W/m**2"
"Effective Radiative Forcing|F Gases","W/m**2"
"Effective Radiative Forcing|Montreal Protocol Halogen Gases","W/m**2"
"Effective Radiative Forcing|Other","W/m**2"
"Alpha|CO2","None"
"Alpha|CH4","None"
"Alpha|N2O","None"
"Alpha|Sulfur","None"
"Alpha|CO","None"
"Alpha|VOC","None"
"Alpha|NOx","None"
"Alpha|BC","None"
"Alpha|OC","None"
"Alpha|NH3","None"
"Alpha|F-Gases|PFC|CF4","None"
"Alpha|F-Gases|PFC|C2F6","None"
"Alpha|F-Gases|PFC|C6F14","None"
"Alpha|F-Gases|HFC|HFC23","None"
"Alpha|F-Gases|HFC|HFC32","None"
"Alpha|F-Gases|HFC|HFC125","None"
"Alpha|F-Gases|HFC|HFC134a","None"
"Alpha|F-Gases|HFC|HFC143a","None"
"Alpha|F-Gases|HFC|HFC227ea","None"
"Alpha|F-Gases|HFC|HFC245fa","None"
"Alpha|F-Gases|HFC|HFC4310mee","None"
"Alpha|F-Gases|SF6","None"
"Alpha|Montreal Gases|CFC|CFC11","None"
"Alpha|Montreal Gases|CFC|CFC12","None"
"Alpha|Montreal Gases|CFC|CFC113","None"
"Alpha|Montreal Gases|CFC|CFC114","None"
"Alpha|Montreal Gases|CFC|CFC115","None"
"Alpha|Montreal Gases|CCl4","None"
"Alpha|Montreal Gases|CH3CCl3","None"
"Alpha|Montreal Gases|HCFC22","None"
"Alpha|Montreal Gases|HCFC141b","None"
"Alpha|Montreal Gases|HCFC142b","None"
"Alpha|Montreal Gases|Halon1211","None"
"Alpha|Montreal Gases|Halon1202","None"
"Alpha|Montreal Gases|Halon1301","None"
"Alpha|Montreal Gases|Halon2402","None"
"Alpha|Montreal Gases|CH3Br","None"
"Alpha|Montreal Gases|CH3Cl","None"
"Surface Temperature","K"
"Surface Temperature (GMST)","K"
