41      TOTAER_DIR_RF           Total direct aerosol forcing (aggregating columns 42 to 47),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42      OCI_RF                  Direct fossil fuel aerosol (organic carbon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43      BCI_RF                  Direct fossil fuel aerosol (black carbon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44      SOXI_RF                 Direct sulphate aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45      NOXI_RF                 Direct nitrate aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46      BIOMASSAER_RF           Direct biomass burning related aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47      MINERALDUST_RF          Direct Forcing from mineral dust aerosol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48      CLOUD_TOT_RF            Cloud albedo effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49      STRATOZ_RF              Stratospheric ozone forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50      TROPOZ_RF               Tropospheric ozone forcing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51      CH4OXSTRATH2O_RF        Stratospheric water-vapour from methane oxidisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52      LANDUSE_RF              Landuse albedo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53      BCSNOW_RF               Black carbon on snow.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
&THISFILE_SPECIFICATIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATACOLUMNS,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTYEAR,1765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_LASTYEAR,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_ANNUALSTEPS,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_FIRSTDATAROW,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_UNITS,SEE ROW 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THISFILE_DATTYPE,RCPDAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLUMN:,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
UNITS:,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2
v YEARS/GAS >,TOTAL_INCLVOLCANIC_RF,VOLCANIC_ANNUAL_RF,SOLAR_RF,TOTAL_ANTHRO_RF,GHG_RF,KYOTOGHG_RF,CO2CH4N2O_RF,CO2_RF,CH4_RF,N2O_RF,FGASSUM_RF,MHALOSUM_RF,CF4,C2F6,C6F14,HFC23,HFC32,HFC43_10,HFC125,HFC134a,HFC143a,HFC227ea,HFC245fa,SF6,CFC_11,CFC_12,CFC_113,CFC_114,CFC_115,CARB_TET,MCF,HCFC_22,HCFC_141B,HCFC_142B,HALON1211,HALON1202,HALON1301,HALON2402,CH3BR,CH3CL,TOTAER_DIR_RF,OCI_RF,BCI_RF,SOXI_RF,NOXI_RF,BIOMASSAER_RF,MINERALDUST_RF,CLOUD_TOT_RF,STRATOZ_RF,TROPOZ_RF,CH4OXSTRATH2O_RF,LANDUSE_RF,BCSNOW_RF
1765,0,0,-0.02835875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1766,0.12602655,0.11622211,-0.02069375,0.016318812,0.015363514,0.015363514,0.015363514,0.011049082,0.00357577,0.0007386612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7767194E-05,0,0,-2.8673141E-05,-0.000012928,0.0002501034,-0.0001907351,-0.0008014506,0,0.0014060381,0.0006067066,-0.0003814702,0.0001077076
1767,0.27303147,0.23244422,0.007039375,0.033547871,0.03212315,0.03212315,0.03212315,0.023246047,0.007360738,0.0015163651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.4676814E-06,0,0,-7.9765703E-05,-3.1908169E-05,0.0006729393,-0.0005677331,-0.0023811199,0,0.0033782715,0.0012489141,-0.0011354663,0.0003205895
1768,0.27887064,0.19744422,0.046256875,0.03516955,0.03497215,0.03497215,0.03497215,0.025605215,0.0077731272,0.0015938079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0001203556,0,0,-0.0001204213,-4.1646503E-05,0.0009775534,-0.0009358412,-0.0039149359,0,0.0042570417,0.0013188972,-0.0018716825,0.000528435
1769,0.24204524,0.13181922,0.073605,0.036621026,0.037899463,0.037899463,0.037899463,0.028057033,0.0081723731,0.0016700562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002815696,0,0,-0.0001539618,-4.7930237E-05,0.0012154908,-0.0012951684,-0.005404098,0,0.004879612,0.001386651,-0.0025903369,0.0007313046
1770,0.24282439,0.12744422,0.077258125,0.038122043,0.040855884,0.040855884,0.040855884,0.03055287,0.0085577857,0.0017452284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004709541,0,0,-0.0001824393,-5.2537901E-05,0.0014098468,-0.0016458238,-0.0068497637,0,0.0054972068,0.0014520585,-0.0032916475,0.0009292586
1771,0.28414227,0.17994422,0.064894375,0.039303678,0.043845012,0.043845012,0.043845012,0.033093627,0.008932072,0.0018193127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008883028,-1.6857657E-05,6.0665212E-05,-0.0002425976,-5.6985635E-05,0.0013553891,-0.0019879163,-0.0084466666,0,0.0061109069,0.0015155788,-0.0039758326,0.001142983
1772,0.29985709,0.21494422,0.04433625,0.040576622,0.046896662,0.046896662,0.046896662,0.035705793,0.0092985859,0.0018922835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0013273201,-3.3715314E-05,0.0001213304,-0.0002981557,-6.0788472E-05,0.001265564,-0.002321555,-0.010001348,0,0.006722044,0.001577781,-0.00464311,0.0013519128
1773,0.29075585,0.22806922,0.020348125,0.042338505,0.050019453,0.050019453,0.050019453,0.038397133,0.0096580629,0.0019642574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0015711789,-3.3715314E-05,0.0001213304,-0.0003146214,-6.3383413E-05,0.0013660597,-0.0026468489,-0.01132127,0,0.007330926,0.00163879,-0.0052936978,0.0015354832
1774,0.27809954,0.23244422,0.00144375,0.044211576,0.053206144,0.053206144,0.053206144,0.041160901,0.010009802,0.0020354403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018149055,-3.3715314E-05,0.0001213304,-0.0003298683,-6.5749156E-05,0.001457004,-0.0029639071,-0.012602014,0,0.0079372997,0.0016984866,-0.0059278143,0.0017143798
1775,0.26883905,0.23244422,-0.009813125,0.046207954,0.056468729,0.056468729,0.056468729,0.044009648,0.010353103,0.0021059778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002056869,-3.3715314E-05,0.0001213304,-0.0003441452,-6.7954666E-05,0.0015404544,-0.0032728386,-0.013844557,0,0.008540913,0.0017567521,-0.0065456773,0.0018886633
1776,0.27685606,0.23244422,-0.003950625,0.04836247,0.059842336,0.059842336,0.059842336,0.046979223,0.010687266,0.0021758477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022958926,-3.3715314E-05,0.0001213304,-0.0003576403,-0.000070046,0.001617931,-0.0035737524,-0.015049844,0,0.0091415146,0.0018134674,-0.0071475049,0.002058394
1777,0.30576066,0.23244422,0.022645,0.050671443,0.063323868,0.063323868,0.063323868,0.050067292,0.011011591,0.0022449851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0025311151,-3.3715314E-05,0.0001213304,-0.0003704989,-0.000072055,0.0016905813,-0.0038667576,-0.016218795,0,0.0097388548,0.0018685138,-0.0077335152,0.0022236324
1778,0.33787519,0.23244422,0.05236875,0.053062222,0.066841453,0.066841453,0.066841453,0.053202569,0.011325381,0.0023135031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0027619008,-3.3715314E-05,0.0001213304,-0.0003828346,-7.4004635E-05,0.0017592865,-0.0041519632,-0.017352301,0,0.010332685,0.0019217729,-0.0083039264,0.002384439
1779,0.34758091,0.23244422,0.05970125,0.055435443,0.070296647,0.070296647,0.070296647,0.05628708,0.011627938,0.0023816295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0029877794,-3.3715314E-05,0.0001213304,-0.0003947376,-7.5911825E-05,0.0018247331,-0.0044294781,-0.018451227,0,0.010922758,0.0019731262,-0.0088589563,0.0025408743
1780,0.34167396,0.23244422,0.05152875,0.057700993,0.073601169,0.073601169,0.073601169,0.059234532,0.011917108,0.0024495291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0032084037,-3.3715314E-05,0.0001213304,-0.0004062804,-7.7789332E-05,0.0018874624,-0.0046994116,-0.019516415,0,0.011508259,0.0020222078,-0.0093988231,0.0026929986
1781,0.33372182,0.23244422,0.041895,0.059382599,0.076718345,0.076718345,0.076718345,0.06201229,0.012188879,0.002517176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0036952978,-0.000050573,0.0001819956,-0.000443034,-8.0099295E-05,0.0016582853,-0.0049618725,-0.020734191,0,0.012087653,0.0020683369,-0.009923745,0.0028614979
1782,0.29101994,0.21056922,0.019495,0.060955722,0.079690512,0.079690512,0.079690512,0.064664134,0.012441892,0.0025844863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0041791706,-6.7430628E-05,0.0002426609,-0.0004791015,-8.2385813E-05,0.0014240564,-0.0052169699,-0.021919206,0,0.012660437,0.0021112827,-0.01043394,0.0030258071
1783,0.17560532,0.11869422,-0.006033125,0.062944224,0.082603297,0.082603297,0.082603297,0.067271913,0.012679821,0.002651563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0043877991,-6.7430628E-05,0.0002426609,-0.0004890625,-8.4204394E-05,0.0014750505,-0.0054648128,-0.02288675,0,0.013228071,0.0021516685,-0.010929626,0.0031653615
1784,0.090269194,0.044319219,-0.0190575,0.065007475,0.085548088,0.085548088,0.085548088,0.069921132,0.01290832,0.0027186355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045899292,-6.7430628E-05,0.0002426609,-0.0004989419,-8.6025124E-05,0.0015253179,-0.0057055103,-0.023823746,0,0.013792782,0.0021904541,-0.011411021,0.0033008468
1785,0.16245306,0.10119422,-0.00597625,0.067235093,0.088612233,0.088612233,0.088612233,0.072693308,0.013133038,0.0027858871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0047855848,-6.7430628E-05,0.0002426609,-0.0005087565,-8.7851836E-05,0.0015749648,-0.0059391715,-0.02473093,0,0.014356795,0.0022285982,-0.011878343,0.0034323235
1786,0.28956182,0.18869422,0.031189375,0.069678227,0.091844626,0.091844626,0.091844626,0.075631696,0.013359615,0.0028533161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0049748085,-6.7430628E-05,0.0002426609,-0.0005185205,-8.9687761E-05,0.0016240748,-0.0061659052,-0.025609019,0,0.014922328,0.0022670582,-0.01233181,0.003559852
1787,0.35299901,0.22369422,0.056993125,0.072311665,0.095217797,0.095217797,0.095217797,0.078703283,0.013593686,0.0029208283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0051576583,-6.7430628E-05,0.0002426609,-0.000528246,-9.1535666E-05,0.0016727138,-0.0063858206,-0.026458714,0,0.015491599,0.0023067908,-0.012771641,0.0036834928
1788,0.36176885,0.22806922,0.0586425,0.07505713,0.098651212,0.098651212,0.098651212,0.081821836,0.013840881,0.0029884956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0053342047,-6.7430628E-05,0.0002426609,-0.0005379431,-0.000093398,0.0017209328,-0.0065990267,-0.027280699,0,0.016066818,0.0023487515,-0.013198053,0.0038033064
1789,0.25105384,0.12306922,0.050159375,0.077825245,0.10205324,0.10205324,0.10205324,0.084889902,0.01410682,0.00305652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055045289,-6.7430628E-05,0.0002426609,-0.0005476204,-9.5276734E-05,0.0017687706,-0.0068056326,-0.028075643,0,0.016650192,0.0023938946,-0.013611265,0.0039193532
1790,0.088882243,-0.025680781,0.03401125,0.080551774,0.10535801,0.10535801,0.10535801,0.087836927,0.014396016,0.0031250695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0056687204,-6.7430628E-05,0.0002426609,-0.0005572852,-9.7173895E-05,0.0018162557,-0.0070057472,-0.028844201,0,0.017243497,0.002442986,-0.014011494,0.0040316937
1791,0.10802003,0.0093192188,0.015911875,0.082788937,0.10856468,0.10856468,0.10856468,0.090660982,0.014709547,0.0031941524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0061142875,-8.4288285E-05,0.0003033261,-0.0005899153,-9.9479084E-05,0.0015555487,-0.0071994795,-0.02976689,0,0.01784717,0.0024962091,-0.014398959,0.0041610137
1792,0.23279865,0.14056922,0.007214375,0.085015058,0.11170704,0.11170704,0.11170704,0.09339792,0.015045435,0.0032636832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0065545164,-0.0001011459,0.0003639913,-0.0006224478,-0.0001018036,0.0012938285,-0.0073869387,-0.030664026,0,0.018460463,0.0025532282,-0.014773877,0.0042867483
1793,0.29457518,0.20619422,0.000695625,0.087685339,0.11479562,0.11479562,0.11479562,0.096060423,0.015401464,0.0033337284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067019838,-0.0001011459,0.0003639913,-0.0006319353,-0.0001037614,0.0013391014,-0.0075682338,-0.031356362,0,0.019082538,0.0026136672,-0.015136468,0.0043883326
1794,0.29173845,0.21494422,-0.013549375,0.09034361,0.11782246,0.11782246,0.11782246,0.098642066,0.015775909,0.0034044868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006843508,-0.0001011459,0.0003639913,-0.0006414679,-0.0001057445,0.0013843328,-0.0077434737,-0.03202483,0,0.019712747,0.0026772335,-0.015486947,0.0044864524
1795,0.25684617,0.19306922,-0.0292075,0.092984454,0.12078398,0.12078398,0.12078398,0.1011408,0.016167048,0.0034761277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0069792222,-0.0001011459,0.0003639913,-0.0006510462,-0.0001077543,0.0014295005,-0.0079127675,-0.032670018,0,0.020350446,0.0027436349,-0.015825535,0.0045811681
1796,0.24505257,0.18869422,-0.0392525,0.095610854,0.12368496,0.12368496,0.12368496,0.10356312,0.016573161,0.0035486751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007109261,-0.0001011459,0.0003639913,-0.0006606705,-0.0001097917,0.0014745802,-0.0080762243,-0.033292506,0,0.020994994,0.0028125795,-0.016152449,0.0046725403
1797,0.26205657,0.21056922,-0.046291875,0.09777923,0.12652962,0.12652962,0.12652962,0.10591503,0.016992531,0.0036220603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0075230941,-0.0001180036,0.0004246565,-0.0006929999,-0.0001122384,0.0012094443,-0.008233953,-0.03407017,0,0.021645752,0.002883776,-0.016467906,0.0047812548
1798,0.27746741,0.22806922,-0.05053125,0.099929438,0.12931323,0.12931323,0.12931323,0.10819345,0.017423441,0.0036963482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0079315107,-0.0001348613,0.0004853217,-0.0007253778,-0.0001147151,0.0009441845,-0.0083860628,-0.034825924,0,0.022302084,0.0029569331,-0.016772126,0.0048867466
1799,0.2856347,0.23244422,-0.04930625,0.10249673,0.13202675,0.13202675,0.13202675,0.11039084,0.017864181,0.0037717255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0080452347,-0.0001348613,0.0004853217,-0.0007351582,-0.0001168428,0.0009889684,-0.0085326625,-0.035383025,0,0.022963358,0.0030317603,-0.017065325,0.0049684508
1800,0.30345983,0.23244422,-0.03357375,0.10458936,0.13466932,0.13466932,0.13466932,0.11250486,0.018316097,0.0038483613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0084427333,-0.0001517189,0.0005459869,-0.0007677138,-0.0001193848,0.0007239586,-0.0086738614,-0.036095795,0,0.023630127,0.0031084866,-0.017347723,0.0050676787
1801,0.3258144,0.23244422,-0.0133,0.10667018,0.13725564,0.13725564,0.13725564,0.11454316,0.018786166,0.0039263122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0088348566,-0.0001685766,0.0006066521,-0.000800378,-0.0001219614,0.0004591756,-0.0088097683,-0.036788347,0,0.02430512,0.0031882966,-0.017619537,0.0051638653
1802,0.32293762,0.23244422,-0.017819375,0.10831278,0.13979849,0.13979849,0.13979849,0.11651278,0.019280163,0.0040055436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0095096413,-0.0002022919,0.0007279825,-0.0008560431,-0.0001249598,-0.0001138367,-0.0089404924,-0.037635553,0,0.024990597,0.0032721707,-0.017880985,0.0052776965
1803,0.3082946,0.23244422,-0.034545,0.11039539,0.1422928,0.1422928,0.1422928,0.1184099,0.01979679,0.0040861033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0098905739,-0.0002191495,0.0007886478,-0.0008890632,-0.0001276125,-0.0003772539,-0.0090661426,-0.038288507,0,0.025686085,0.0033598891,-0.018132285,0.0053679819
