1788,0.36176885,0.22806922,0.0586425,0.07505713,0.098651212,0.098651212,0.098651212,0.081821836,0.013840881,0.002988496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005334205,-6.74E-05,0.000242661,-0.000537943,-9.34E-05,0.001720933,-0.006599027,-0.027280699,0,0.016066818,0.002348752,-0.013198053,0.003803306
1789,0.25105384,0.12306922,0.050159375,0.077825245,0.10205324,0.10205324,0.10205324,0.084889902,0.01410682,0.00305652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005504529,-6.74E-05,0.000242661,-0.00054762,-9.53E-05,0.001768771,-0.006805633,-0.028075643,0,0.016650192,0.002393895,-0.013611265,0.003919353
1790,0.088882243,-0.025680781,0.03401125,0.080551774,0.10535801,0.10535801,0.10535801,0.087836927,0.014396016,0.00312507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00566872,-6.74E-05,0.000242661,-0.000557285,-9.72E-05,0.001816256,-0.007005747,-0.028844201,0,0.017243497,0.002442986,-0.014011494,0.004031694
1791,0.10802003,0.009319219,0.015911875,0.082788937,0.10856468,0.10856468,0.10856468,0.090660982,0.014709547,0.003194152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006114288,-8.43E-05,0.000303326,-0.000589915,-9.95E-05,0.001555549,-0.00719948,-0.02976689,0,0.01784717,0.002496209,-0.014398959,0.004161014
1792,0.23279865,0.14056922,0.007214375,0.085015058,0.11170704,0.11170704,0.11170704,0.09339792,0.015045435,0.003263683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006554516,-0.000101146,0.000363991,-0.000622448,-0.000101804,0.001293829,-0.007386939,-0.030664026,0,0.018460463,0.002553228,-0.014773877,0.004286748
1793,0.29457518,0.20619422,0.000695625,0.087685339,0.11479562,0.11479562,0.11479562,0.096060423,0.015401464,0.003333728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006701984,-0.000101146,0.000363991,-0.000631935,-0.000103761,0.001339101,-0.007568234,-0.031356362,0,0.019082538,0.002613667,-0.015136468,0.004388333
1794,0.29173845,0.21494422,-0.013549375,0.09034361,0.11782246,0.11782246,0.11782246,0.098642066,0.015775909,0.003404487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006843508,-0.000101146,0.000363991,-0.000641468,-0.000105745,0.001384333,-0.007743474,-0.03202483,0,0.019712747,0.002677234,-0.015486947,0.004486452
1795,0.25684617,0.19306922,-0.0292075,0.092984454,0.12078398,0.12078398,0.12078398,0.1011408,0.016167048,0.003476128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006979222,-0.000101146,0.000363991,-0.000651046,-0.000107754,0.001429501,-0.007912768,-0.032670018,0,0.020350446,0.002743635,-0.015825535,0.004581168
1796,0.24505257,0.18869422,-0.0392525,0.095610854,0.12368496,0.12368496,0.12368496,0.10356312,0.016573161,0.003548675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007109261,-0.000101146,0.000363991,-0.000660671,-0.000109792,0.00147458,-0.008076224,-0.033292506,0,0.020994994,0.00281258,-0.016152449,0.00467254
1797,0.26205657,0.21056922,-0.046291875,0.09777923,0.12652962,0.12652962,0.12652962,0.10591503,0.016992531,0.00362206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007523094,-0.000118004,0.000424656,-0.000693,-0.000112238,0.001209444,-0.008233953,-0.03407017,0,0.021645752,0.002883776,-0.016467906,0.004781255
1798,0.27746741,0.22806922,-0.05053125,0.099929438,0.12931323,0.12931323,0.12931323,0.10819345,0.017423441,0.003696348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007931511,-0.000134861,0.000485322,-0.000725378,-0.000114715,0.000944184,-0.008386063,-0.034825924,0,0.022302084,0.002956933,-0.016772126,0.004886747
1799,0.2856347,0.23244422,-0.04930625,0.10249673,0.13202675,0.13202675,0.13202675,0.11039084,0.017864181,0.003771726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008045235,-0.000134861,0.000485322,-0.000735158,-0.000116843,0.000988968,-0.008532663,-0.035383025,0,0.022963358,0.00303176,-0.017065325,0.004968451
1800,0.30345983,0.23244422,-0.03357375,0.10458936,0.13466932,0.13466932,0.13466932,0.11250486,0.018316097,0.003848361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008442733,-0.000151719,0.000545987,-0.000767714,-0.000119385,0.000723959,-0.008673861,-0.036095795,0,0.023630127,0.003108487,-0.017347723,0.005067679
1801,0.3258144,0.23244422,-0.0133,0.10667018,0.13725564,0.13725564,0.13725564,0.11454316,0.018786166,0.003926312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.008834857,-0.000168577,0.000606652,-0.000800378,-0.000121961,0.000459176,-0.008809768,-0.036788347,0,0.02430512,0.003188297,-0.017619537,0.005163865
1802,0.32293762,0.23244422,-0.017819375,0.10831278,0.13979849,0.13979849,0.13979849,0.11651278,0.019280163,0.004005544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009509641,-0.000202292,0.000727983,-0.000856043,-0.00012496,-0.000113837,-0.008940492,-0.037635553,0,0.024990597,0.003272171,-0.017880985,0.005277697
1803,0.3082946,0.23244422,-0.034545,0.11039539,0.1422928,0.1422928,0.1422928,0.1184099,0.01979679,0.004086103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009890574,-0.00021915,0.000788648,-0.000889063,-0.000127612,-0.000377254,-0.009066143,-0.038288507,0,0.025686085,0.003359889,-0.018132285,0.005367982
1804,0.30625174,0.23244422,-0.039536875,0.11334439,0.14472501,0.14472501,0.14472501,0.12022542,0.020331467,0.004168121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009689239,-0.000202292,0.000727983,-0.000876652,-0.000129537,-2.19E-05,-0.009186828,-0.038572395,0,0.026389842,0.003450674,-0.018373656,0.005414157
1805,0.30554894,0.23244422,-0.04272625,0.11583097,0.14709945,0.14709945,0.14709945,0.1219681,0.020879622,0.004251722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009771625,-0.000202292,0.000727983,-0.000887137,-0.000131884,2.44E-05,-0.009302658,-0.039013583,0,0.027100138,0.00354375,-0.018605315,0.005478157
1806,0.29656247,0.23244422,-0.053764375,0.11788262,0.14944406,0.14944406,0.14944406,0.1236704,0.021436693,0.004336975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010136037,-0.00021915,0.000788648,-0.000920814,-0.000134662,-0.000236318,-0.009413741,-0.03961156,0,0.027815251,0.003638342,-0.018827481,0.005560045
